"No.","Action"

"Action 1","Player Alexco cleared all Dungeons."
"Action 2","Player Alexco failed the Quest 'Color Rush'."
"Action 3","Player Alexco defeated the 'Stone Golem'."
"Action 4","Player Alexco defeated the 'Lightning Djinn'."
"Action 5","Player Alexco defeated the 'Water Nymph'."
"Action 6","Player Alexco defeated the 'Ghost Wolf'."
"Action 7","Player Alexco defeated the 'Crimson Fox'."
"Action 8","Player Alexco defeated the 'Steel Rhino'."
"Action 9","Player Alexco defeated the 'Infernal Revenant'."
"Action 10","Player Alexco defeated the 'Eldritch Spellbinder'."
"Action 11","Player Alexco defeated the 'Leviathan'."
"Action 12","Player Alexco cleared Dungeon 'The Arena'."
"Action 13","Player Alexco defeated Player gfaje in PVP."
"Action 14","Player Alexco defeated Player gfaje in PVP."
"Action 15","Player Alexco completed the Quest 'PVP Gladiator'."
"Action 16","Player Alexco defeated Player gfaje in PVP."
